timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,
40.506000000,5.22882,-2.87053,3.50887,-16.8184,-16.583,9.47153,18.0296,-4.77948,6.85578,17.1438,-7.61069,-2.15303,-15.0819,-14.6404,2.55935,6.83199,
40.560000000,5.25659,-2.89534,3.55677,-16.8873,-16.5047,9.5699,18.0502,-4.73102,6.95205,17.1312,-7.69827,-2.17563,-15.1203,-14.6018,2.56357,6.93688,
40.612000000,5.32588,-2.95993,3.57933,-16.9182,-16.4683,9.61468,18.0674,-4.68322,6.99562,17.1252,-7.78628,-2.19972,-15.1364,-14.5836,2.56412,7.03702,
40.664000000,5.35575,-2.98911,3.62688,-16.9799,-16.3875,9.71219,18.076,-4.65543,7.09544,17.1109,-7.82961,-2.21213,-15.1683,-14.543,2.563,7.08675,
40.716000000,5.41805,-3.05312,3.6517,-17.0102,-16.3431,9.76487,18.0829,-4.63062,7.14627,17.1034,-7.87396,-2.22523,-15.1838,-14.5205,2.55732,7.19061,
40.766000000,5.44544,-3.08282,3.69134,-17.0559,-16.2628,9.85866,18.0939,-4.58432,7.19951,17.0954,-7.9476,-2.24794,-15.2087,-14.4797,2.55352,7.23367,
40.814000000,5.47289,-3.11372,3.71113,-17.0774,-16.2175,9.9108,18.0984,-4.56145,7.28952,17.0817,-7.98808,-2.26097,-15.2197,-14.4592,2.54277,7.32143,
40.862000000,5.51576,-3.16464,3.72825,-17.0952,-16.1815,9.95182,18.106,-4.51497,7.33171,17.0752,-8.05318,-2.28279,-15.2298,-14.4386,2.53607,7.36342,
40.910000000,5.53684,-3.19111,3.76802,-17.1339,-16.0948,10.0497,18.109,-4.49138,7.42636,17.0606,-8.0843,-2.29362,-15.2479,-14.3962,2.52802,7.4065,
40.960000000,5.57556,-3.2428,3.78512,-17.1493,-16.0562,10.0929,18.1113,-4.46931,7.47361,17.0533,-8.14914,-2.31707,-15.2554,-14.3757,2.51023,7.48406,
41.006000000,5.59221,-3.26652,3.81626,-17.1755,-15.9763,10.1814,18.1144,-4.42956,7.51822,17.0465,-8.17386,-2.32635,-15.2671,-14.3386,2.50009,7.52098,
41.056000000,5.62436,-3.31563,3.83337,-17.1888,-15.9375,10.2241,18.1155,-4.40805,7.60747,17.0328,-8.23113,-2.34859,-15.273,-14.316,2.47739,7.59117,
41.104000000,5.63717,-3.33672,3.86553,-17.2115,-15.8553,10.314,18.1164,-4.36438,7.65216,17.026,-8.25675,-2.35889,-15.2811,-14.2774,2.46639,7.62061,
41.156000000,5.66458,-3.38588,3.88344,-17.223,-15.8095,10.3637,18.1163,-4.34103,7.74966,17.0113,-8.31142,-2.38166,-15.2846,-14.2556,2.43759,7.68754,
41.208000000,5.67657,-3.40967,3.91707,-17.2419,-15.7638,10.4132,18.1148,-4.29628,7.79988,17.0037,-8.33726,-2.39281,-15.2872,-14.2352,2.42018,7.7225,
41.258000000,5.69567,-3.45193,3.93286,-17.2496,-15.6826,10.5008,18.1136,-4.27486,7.88743,16.9907,-8.36351,-2.40439,-15.2901,-14.1986,2.40275,7.75428,
41.308000000,5.70456,-3.47423,3.96005,-17.261,-15.6446,10.5416,18.1105,-4.23733,7.93536,16.9835,-8.40794,-2.4246,-15.2907,-14.1791,2.36845,7.80928,
41.358000000,5.71281,-3.49718,3.97649,-17.2668,-15.5623,10.6299,18.1083,-4.21538,8.01823,16.9712,-8.43142,-2.43558,-15.2902,-14.1433,2.3487,7.83727,
41.408000000,5.72477,-3.53677,3.99015,-17.271,-15.5203,10.6747,18.1062,-4.19709,8.06384,16.9644,-8.47452,-2.4563,-15.2892,-14.126,2.33257,7.85846,
41.460000000,5.72993,-3.55806,4.01738,-17.2774,-15.4397,10.7608,18.1005,-4.15549,8.11496,16.9569,-8.49214,-2.46497,-15.2855,-14.0905,2.29201,7.90622,
41.512000000,5.73687,-3.59676,4.03095,-17.2797,-15.3964,10.8069,18.0972,-4.1345,8.21224,16.9424,-8.52969,-2.48381,-15.2829,-14.0734,2.2708,7.9285,
41.566000000,5.73909,-3.61633,4.05651,-17.2824,-15.3179,10.8906,18.091,-4.09865,8.25837,16.9355,-8.54937,-2.49386,-15.2764,-14.0415,2.22664,7.97004,
41.616000000,5.7407,-3.64987,4.06785,-17.2829,-15.2803,10.9306,18.0875,-4.08048,8.35369,16.9212,-8.56454,-2.50168,-15.2725,-14.0257,2.20631,7.98726,
41.658000000,5.74051,-3.66314,4.09265,-17.2825,-15.2431,10.9703,18.0798,-4.04372,8.40564,16.9133,-8.59347,-2.51673,-15.2647,-13.9998,2.16444,8.01954,
41.708000000,5.73957,-3.67974,4.10269,-17.2817,-15.172,11.046,18.0763,-4.02824,8.49616,16.8993,-8.60895,-2.52483,-15.2597,-13.9854,2.13886,8.0374,
41.762000000,5.73574,-3.70969,4.12617,-17.2786,-15.136,11.0845,18.0676,-3.99172,8.53743,16.8929,-8.63758,-2.53982,-15.2547,-13.9723,2.09328,8.06623,
41.800000000,5.73342,-3.72149,4.13507,-17.277,-15.0963,11.1269,18.0641,-3.97777,8.58152,16.8859,-8.64776,-2.54513,-15.2447,-13.9495,2.07069,8.07926,
41.852000000,5.72503,-3.75201,4.14695,-17.2744,-15.0266,11.2016,18.0597,-3.96101,8.67544,16.8708,-8.67549,-2.55944,-15.2385,-13.937,2.02317,8.10429,
41.902000000,5.71975,-3.76645,4.1683,-17.2686,-14.9944,11.2362,18.0504,-3.92718,8.72805,16.8621,-8.68908,-2.56632,-15.2257,-13.9142,1.99824,8.11627,
41.954000000,5.71444,-3.7789,4.17902,-17.2653,-14.9275,11.3084,18.0457,-3.91107,8.82235,16.8461,-8.7009,-2.57221,-15.2192,-13.9038,1.95058,8.13724,
42.004000000,5.70189,-3.80318,4.18958,-17.2616,-14.8928,11.3459,18.036,-3.87948,8.87512,16.8368,-8.72436,-2.5835,-15.2055,-13.8845,1.92036,8.14936,
42.056000000,5.6942,-3.81561,4.21025,-17.2537,-14.8252,11.4195,18.0317,-3.86582,8.96685,16.8203,-8.73536,-2.58858,-15.1988,-13.876,1.8683,8.16836,
42.104000000,5.67995,-3.83538,4.22094,-17.2491,-14.7904,11.4576,18.0212,-3.8346,9.02247,16.8099,-8.75856,-2.59872,-15.1828,-13.858,1.84044,8.17765,
42.160000000,5.67076,-3.84642,4.23974,-17.2406,-14.7281,11.5264,18.016,-3.81977,9.10867,16.7931,-8.76953,-2.6032,-15.1743,-13.8495,1.81239,8.18646,
42.214000000,5.65306,-3.86493,4.25814,-17.2316,-14.6952,11.563,18.0045,-3.78827,9.1587,16.7831,-8.79156,-2.61146,-15.1588,-13.8359,1.75901,8.20187,
42.266000000,5.63503,-3.88092,4.26882,-17.2261,-14.638,11.6272,17.9943,-3.76188,9.2503,16.7639,-8.8009,-2.61464,-15.1504,-13.8293,1.7036,8.21621,
42.318000000,5.62556,-3.88841,4.27728,-17.2216,-14.6135,11.6549,17.9887,-3.74819,9.29742,16.7536,-8.81993,-2.62046,-15.1352,-13.8189,1.67338,8.22342,
42.370000000,5.61392,-3.89686,4.29455,-17.2123,-14.5578,11.7184,17.9825,-3.73317,9.39422,16.7317,-8.8302,-2.62321,-15.1265,-13.8138,1.64469,8.22991,
42.424000000,5.59147,-3.91123,4.3044,-17.2068,-14.5317,11.7486,17.9707,-3.70625,9.44385,16.7199,-8.85008,-2.62772,-15.1085,-13.8046,1.59038,8.24136,
42.476000000,5.56851,-3.92373,4.32291,-17.1964,-14.4781,11.8111,17.9645,-3.6928,9.54278,16.6954,-8.86085,-2.62969,-15.0986,-13.8005,1.56001,8.24734,
42.530000000,5.55734,-3.92912,4.33209,-17.1912,-14.4508,11.8433,17.9517,-3.66601,9.59477,16.6819,-8.8819,-2.63261,-15.0892,-13.7971,1.50571,8.25742,
42.582000000,5.53218,-3.93987,4.35139,-17.1802,-14.3983,11.906,17.945,-3.6527,9.6982,16.6538,-8.89279,-2.63363,-15.0707,-13.7919,1.47542,8.26274,
42.632000000,5.51813,-3.94511,4.36049,-17.175,-14.3731,11.9366,17.9329,-3.62967,9.74421,16.6408,-8.90203,-2.63425,-15.0627,-13.7903,1.42139,8.27181,
42.686000000,5.50308,-3.95019,4.37916,-17.1645,-14.3499,11.9651,17.9256,-3.6166,9.83834,16.6129,-8.92367,-2.63481,-15.044,-13.7877,1.38976,8.27693,
42.736000000,5.47535,-3.95823,4.38824,-17.1595,-14.3029,12.0236,17.9127,-3.59458,9.88107,16.5997,-8.93378,-2.63467,-15.0359,-13.7872,1.33784,8.28509,
42.786000000,5.46042,-3.96192,4.39832,-17.154,-14.2839,12.0476,17.9067,-3.58489,9.97648,16.5689,-8.955,-2.63362,-15.0187,-13.7871,1.30814,8.28967,
42.838000000,5.43648,-3.96698,4.41548,-17.1448,-14.2452,12.0974,17.9004,-3.57484,10.0211,16.5539,-8.96614,-2.63269,-15.0095,-13.7876,1.25849,8.29727,
42.888000000,5.4211,-3.96972,4.42458,-17.1401,-14.2255,12.1231,17.8863,-3.55392,10.0681,16.5377,-8.98832,-2.63012,-14.9933,-13.7895,1.23232,8.30128,
42.940000000,5.39241,-3.97386,4.44081,-17.1319,-14.189,12.1718,17.879,-3.54367,10.1534,16.507,-8.9987,-2.62862,-14.9841,-13.7911,1.17893,8.30954,
42.990000000,5.37914,-3.97537,4.44997,-17.1274,-14.1702,12.1975,17.8653,-3.52571,10.202,16.4888,-9.02267,-2.62451,-14.9668,-13.7951,1.15175,8.31384,
43.044000000,5.34984,-3.97785,4.46736,-17.1192,-14.1362,12.2451,17.8582,-3.51694,10.2854,16.4563,-9.03499,-2.6221,-14.9576,-13.7978,1.10395,8.3216,
